tshirt,positive_pant,detailed,medium,low,empty,dif
116067447,125127242,"An image of  white skinny denim jeans with a mid-rise waist, classic five-pocket styling, zip fly, and belt loops",Generate an image of white skinny jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
130056190,118189428,"An image of a pink asymmetrical wrap skort in lightweight woven fabric, high-rise tailored fit, overlapping wrap front with angled hem and discreet side zipper",Generate an image of a pink tailored-fit asymmetrical wrap skort,Generate an image of a wrap skort, ,"A photo of a Skort, on white background, high quality."
70035185,66944583,"An image of black slim-fit  denim jeans with a mid-rise waist, classic five-pocket styling, belt loops, and a clean unwashed finish",Generate an image of black slim-fit denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
45691229,93410653,"An image of light-wash blue skinny stretch denim jeans with a mid-rise fit, five-pocket construction, and subtle whiskering",Generate an image of light-wash skinny fit jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
167497581,16667704,"An image of relaxed-fit blue denim jeans made from sturdy cotton denim, mid-rise with straight legs, classic five-pocket styling, orange contrast stitching and metal rivets",Generate an image of relaxed-fit blue denim jeans,Generate an image of relaxed-fit jeans, ,"A photo of a Jeans, on white background, high quality."
125338675,192953156,"An image of black high-waisted straight-leg mom jeans in denim, featuring a ring belt and classic five-pocket styling",Generate an image of black high-waisted straight-leg mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
158796365,159652568,"An image of high-waisted ripped skinny blue denim jeans with distressed detailing, a snug fit, and classic five-pocket styling",Generate an image of blue high-waisted skinny jeans,Generate an image of ripped jeans, ,"A photo of a Jeans, on white background, high quality."
50000022,52475767,"Generate an image of light wash distressed denim cutoff shorts with a mid-rise relaxed fit, frayed raw hems, and classic five-pocket styling",Generate an image of light wash relaxed-fit denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
50000022,52475767,"Generate an image of light wash distressed denim cutoff shorts with a mid-rise relaxed fit, frayed raw hems, and classic five-pocket styling",Generate an image of light wash relaxed-fit denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
50000022,52475767,"Generate an image of light wash distressed denim cutoff shorts with a mid-rise relaxed fit, frayed raw hems, and classic five-pocket styling",Generate an image of light wash relaxed-fit denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Jeans, on white background, high quality."
5584342,176835409,"An image of blush pink floral satin high-waisted dressy shorts with a tailored fit, subtle sheen, and all-over floral pattern",Generate an image of high-waisted blush pink satin shorts with a dressy fit,Generate an image of dressy shorts, ,"A photo of a Shorts, on white background, high quality."
