tshirt,positive_pant,detailed,medium,low,empty,dif
173083392,169225763,An image of light-wash denim skinny jeans with ripped knees and classic five-pocket styling,Generate an image of light-wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
173083392,169225763,An image of light-wash denim skinny jeans with ripped knees and classic five-pocket styling,Generate an image of light-wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
173083392,169225763,An image of light-wash denim skinny jeans with ripped knees and classic five-pocket styling,Generate an image of light-wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
160819606,154683220,"An image of light wash star print cuffed denim shorts in cotton denim, regular fit, featuring rolled cuffs and an all-over star motif",Generate an image of regular-fit light wash denim shorts with cuffed hems and star print,Generate an image of star print denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
192421241,173409141,An image of an olive plaid tweed pleated mini skirt with a high-waist fit and subtle A-line silhouette,Generate an image of an olive pleated mini skirt,Generate an image of a pleated mini skirt, ,"A photo of a Skirt, on white background, high quality."
192421241,173409141,An image of an olive plaid tweed pleated mini skirt with a high-waist fit and subtle A-line silhouette,Generate an image of an olive pleated mini skirt,Generate an image of a pleated mini skirt, ,"A photo of a Skirt, on white background, high quality."
165619138,183620614,"An image of a cream-colored soft knit sweater dress with long sleeves, relaxed fit, and ribbed neckline, cuffs, and hem",Generate an image of a cream relaxed-fit knit sweater dress,Generate an image of a sweater dress, ,"A photo of a Dress, on white background, high quality."
182085844,186631875,"An image of a rainbow layered tulle tutu skirt with multiple fluffy tiers, a voluminous A-line fit, and an elastic waistband",Generate an image of a rainbow layered tulle tutu skirt,Generate an image of a tutu skirt, ,"A photo of a Skirt, on white background, high quality."
151516029,151043957,"An image of a black denim mini skirt embellished with silver-tone studs across the front and pockets, crafted from sturdy cotton denim, slim high-rise fit with a raw frayed hem","Generate an image of a black studded denim mini skirt, slim fit",Generate an image of a studded mini skirt, ,"A photo of a Skirt, on white background, high quality."
156031094,185906198,"An image of light blue suede high-waist flare pants, fitted through the hips and thighs and dramatically flared from the knees, showcasing a smooth suede texture",Generate an image of light blue high-waist flare pants with a wide-leg silhouette,Generate an image of flare pants, ,"A photo of a Flare Pants, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
197151812,161425425,"An image of black high-waisted skinny denim jeans, form-fitting with distressed rips and open knee slits",Generate an image of black skinny jeans with knee slits,Generate an image of ripped skinny jeans, ,"A photo of a Jeans, on white background, high quality."
140956047,195418618,"An image of a mustard yellow leather A-line mini skirt featuring a smooth, structured finish and clean hem",Generate an image of a mustard yellow A-line mini skirt,Generate an image of a mini skirt, ,"A photo of a Skirt, on white background, high quality."
191849662,179159316,An image of a light blue distressed denim A-line mini skirt with frayed hem and raw-edge detailing,Generate an image of a light blue A-line denim mini skirt,Generate an image of a denim mini skirt, ,"A photo of a Skirt, on white background, high quality."
191849662,179159316,An image of a light blue distressed denim A-line mini skirt with frayed hem and raw-edge detailing,Generate an image of a light blue A-line denim mini skirt,Generate an image of a denim mini skirt, ,"A photo of a Skirt, on white background, high quality."
91332891,130342533,"An image of black high-waist cropped tailored trousers crafted from smooth suiting fabric, featuring a slim tapered fit, sharp front creases, belt loops, and an ankle-grazing hem",Generate an image of black cropped high-waist tailored trousers with a slim fit,Generate an image of cropped tailored trousers, ,"A photo of a Trousers, on white background, high quality."
130448734,125922359,"An image of a red, white, and black floral print skater skirt made from lightweight fabric, featuring a high waist, flared A-line silhouette, knee-length hem, and hidden back zipper",Generate an image of a flared red floral skater skirt,Generate an image of a skater skirt, ,"A photo of a Skirt, on white background, high quality."
177943116,179009896,"An image of a white mini fit-and-flare dress with blue floral print, made from lightweight woven fabric, featuring a fitted bodice and flared skirt",Generate an image of a white fit-and-flare mini dress with blue floral pattern,Generate an image of a fit-and-flare mini dress, ,"A photo of a Dress, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
179817833,191486343,"An image of white cotton cigarette trousers with a cropped, slim fit and ankle-grazing hem",Generate an image of white cropped cigarette trousers with a slim fit,Generate an image of cigarette trousers, ,"A photo of a Cigarette Trousers, on white background, high quality."
112893639,198271706,"An image of a silver metallic pleated midi skirt crafted from shimmering lamé fabric, mid-length with a fitted waistband and flowing knife pleats for an elegant A-line silhouette",Generate an image of a silver pleated midi skirt with an A-line fit,Generate an image of a pleated midi skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
178849743,186870738,"An image of a black leather high-waisted pencil skirt with a sleek, fitted silhouette and a gold buckle detail at the waist",Generate an image of a black high-waisted pencil skirt with a slim fit,Generate an image of a pencil skirt, ,"A photo of a Skirt, on white background, high quality."
